epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5088,0.54298,1.66971,1.04347,0.96156,0.93103,0.99184,0.88839,0.42224,2.08837,0.84825,0.000549878,0.000549878,0.000549878
2,46.3608,0.60671,0.97743,1.05031,0.95255,0.98851,0.99188,0.88395,0.48375,1.02575,0.90896,0.00110007,0.00110007,0.00110007
3,69.1607,0.635,0.81886,1.04034,0.78097,0.75862,0.79842,0.68025,0.54741,1.29068,0.93188,0.00164477,0.00164477,0.00164477
4,91.9977,0.64472,0.72858,1.02644,0.9987,1,0.995,0.91042,0.39826,0.60794,0.8277,0.00164225,0.00164225,0.00164225
5,114.973,0.61342,0.64429,1.02359,0.98741,1,0.995,0.91237,0.40851,0.56896,0.83051,0.00163399,0.00163399,0.00163399
6,138.035,0.59877,0.58285,1.01118,0.99904,1,0.995,0.93316,0.361,0.45454,0.8207,0.00162574,0.00162574,0.00162574
7,161.118,0.5671,0.54724,1.00725,0.99923,1,0.995,0.95095,0.33056,0.3761,0.80489,0.00161749,0.00161749,0.00161749
8,184.224,0.56915,0.49123,1.00997,0.99798,1,0.995,0.93775,0.33812,0.36753,0.8062,0.00160924,0.00160924,0.00160924
9,207.282,0.53842,0.4618,0.98684,0.99899,0.98851,0.99489,0.973,0.29547,0.33732,0.79334,0.00160099,0.00160099,0.00160099
10,230.422,0.54351,0.45355,0.99701,0.99303,1,0.995,0.95166,0.29348,0.29876,0.79085,0.00159274,0.00159274,0.00159274
11,253.576,0.55408,0.44846,0.99187,0.98791,1,0.99489,0.92522,0.37244,0.32582,0.80721,0.00158448,0.00158448,0.00158448
12,276.784,0.53433,0.41864,0.9827,0.99933,1,0.995,0.95703,0.31189,0.29541,0.80096,0.00157623,0.00157623,0.00157623
13,299.984,0.49415,0.39534,0.95988,0.9989,1,0.995,0.97067,0.28239,0.26311,0.79194,0.00156798,0.00156798,0.00156798
14,323.089,0.5073,0.39247,0.97454,0.99896,1,0.995,0.97714,0.26821,0.25988,0.78567,0.00155973,0.00155973,0.00155973
15,346.327,0.50429,0.38647,0.98004,0.9993,1,0.995,0.95446,0.28609,0.26586,0.79565,0.00155148,0.00155148,0.00155148
16,369.582,0.48588,0.37415,0.96172,0.98559,1,0.99477,0.96843,0.27697,0.27518,0.78836,0.00154323,0.00154323,0.00154323
17,392.846,0.4839,0.36228,0.97023,0.99908,1,0.995,0.97566,0.25212,0.22723,0.77952,0.00153497,0.00153497,0.00153497
18,416.134,0.47572,0.36035,0.951,0.99878,1,0.995,0.97277,0.27343,0.23658,0.788,0.00152672,0.00152672,0.00152672
19,439.403,0.46337,0.35402,0.94332,0.99927,1,0.995,0.97789,0.25433,0.2134,0.77891,0.00151847,0.00151847,0.00151847
20,462.58,0.46801,0.35205,0.95678,0.99932,1,0.995,0.98667,0.23328,0.22258,0.77651,0.00151022,0.00151022,0.00151022
